序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您的性别	2、?您认为大学生的心理健康是否应该引起重视，请选择一个符合的选项	3、?您对心理健康知识了解多少，请选择一个符合的选项	4、您了解心理健康的途径是什么，请勾选所有符合的选项（多选题）	5、你总有明确的生活目标并在为之不懈奋斗吗？	6、如果在学习过程中出现学习效率低下、压力过大的状况，你会觉得心烦气躁吗？	7、?在考试考证前，您是否对自己信心不足，情绪烦躁，看过书本但记住很少请选择一个符合的选项	8、你认为压力在你的学习生活中有什么作用？	9、?您生活的压力主要来自，请勾选所有符合的选项（多选题）	10、?你觉得自己的心理承受能力强吗，请选择一个符合的选项	11、?您和周围认识的人是否闹过矛盾，请选择一个符合的选项	12、您是否经常跟家人朋友交流感情，聊天谈笑请选择一个符合的选项	13、?您是否曾因同学间的攀比而产生困扰，请选择一个符合的选项	14、?当情绪低落时，您如何调节，请勾选所有符合的选项（多选题）	15、你如何看待在校大学生自杀事件，请勾选所有符合的选项（多选题）	16、?你的大学恋爱观是怎样？请选择一个符合的选项	17、大学毕业之后你对未来的选择是？	18、?面对如此严峻的就业形势你会有所担忧，请选择一个符合的选项	19、?请问您觉得学校可以如何去进行心理健康教育，请勾选所有符合的选项（多选题）	20、?如果有一场心理讲座，你希望主题是什么请选择一个符合的选项	21、 目前，你急需解决的心理问题是什么？你希望以什么方式获得帮助
25	2021/5/27 12:16:33	130秒	微信	N/A	39.144.196.33(新疆-未知)	女	必须重视	了解一点	游览网页┋跟朋友聊天时了解到	没有	经常会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力┋其他	一般	偶尔	偶尔	有时	一个人生闷气	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	
26	2021/5/27 12:23:20	145秒	微信	N/A	116.178.221.192(新疆-乌鲁木齐)	女	应该重视	了解一点	游览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影┋其他	没有	经常会	是	没影响	学习压力┋感情压力┋人际关系┋经济问题┋就业压力	很强	很少	偶尔	没有	倒头大睡，不去想任何事情┋一个人生闷气	对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	
27	2021/5/27 12:23:59	111秒	微信	N/A	120.68.0.6(新疆-阿克苏)	男	必须重视	了解一点	听讲座┋看相关电影	没有	有时会	是	正面影响，会为学习带来动力	经济问题	很强	经常	偶尔	有时	参加户外活动转移注意力	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨	一种美好的经历，帮助我成长	就业	会有所担忧	多举行心理讲座	情绪调节	
28	2021/5/27 12:24:41	33秒	微信	N/A	39.144.204.30(新疆-未知)	男	应该重视	一点也不了解	跟朋友聊天时了解到	没有	有时会	是	较为负面影响，会影响情绪	人际关系	一般	很少	偶尔	有时	通过暴饮暴食发泄不满情绪	非常鄙视自杀之人，枉费父母和社会	一种美好的经历，帮助我成长	考研	无所谓，父母早为自己铺好路	网络心理咨询	学习方法	
29	2021/5/27 12:24:50	135秒	微信	N/A	39.144.204.28(新疆-未知)	女	必须重视	了解一点	阅读书刊┋看相关电影	没有	有时会	是	正面影响，会为学习带来动力	学习压力┋考试考证┋就业压力	一般	很少	偶尔	没有	参加户外活动转移注意力┋找人倾述	压力过大，能够理解	一种美好的经历，帮助我成长	考研	会有所担忧	组织团体活动	情绪调节	
30	2021/5/27 12:25:00	142秒	微信	N/A	120.68.0.7(新疆-阿克苏)	男	必须重视	了解一点	游览网页┋听讲座┋看相关电影	有	经常会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋考试考证┋就业压力	一般	偶尔	偶尔	没有	参加户外活动转移注意力┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会有所担忧	多举行心理讲座┋组织团体活动	情绪调节	
31	2021/5/27 12:27:20	83秒	微信	N/A	39.144.200.159(新疆-未知)	女	必须重视	了解很少	游览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	没有	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	偶尔	经常	很少	一个人生闷气┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	
32	2021/5/27 12:41:00	83秒	微信	N/A	123.183.147.48(河北-秦皇岛)	男	应该重视	了解一点	阅读书刊┋跟朋友聊天时了解到┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	感情压力┋人际关系┋经济问题	很强	经常	经常	经常	参加户外活动转移注意力	压力过大，能够理解	人生大事，应该用心经营，从一而终	就业	会有所担忧	多举行心理讲座	情绪调节	
33	2021/5/27 12:42:31	264秒	手机提交	直接访问	221.192.179.189(河北-石家庄)	女	必须重视	了解很少	跟朋友聊天时了解到┋听讲座	有	有时会	是	较为负面影响，会影响情绪	学习压力┋家庭问题┋经济问题┋考试考证	很弱	偶尔	经常	有时	找人倾述	压力过大，能够理解	只在乎曾经拥有，不在乎天长地久	就业	会有所担忧	设立心理咨询室	情绪调节	
34	2021/5/27 12:43:38	168秒	微信	N/A	27.128.16.58(河北-石家庄)	男	必须重视	了解一点	游览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	有	有时会	否	没影响	感情压力┋经济问题	一般	没有	经常	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情	非常鄙视自杀之人，枉费父母和社会┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	就业	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	情绪调节	
35	2021/5/27 12:55:00	204秒	微信	N/A	121.24.169.7(河北-邯郸)	男	必须重视	了解很多	游览网页	有	有时会	是	正面影响，会为学习带来动力	学习压力┋其他	一般	偶尔	经常	很少	倒头大睡，不去想任何事情	对引发事件发生的社会原因和学校的责任非常慷慨	人生大事，应该用心经营，从一而终	就业	会有所担忧	网络心理咨询	如何处理学习和工作	
36	2021/5/27 16:37:53	158秒	手机提交	直接访问	121.28.145.64(河北-石家庄)	女	必须重视	了解很少	游览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	没有	经常会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋经济问题┋考试考证	一般	偶尔	经常	很少	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋一个人生闷气	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	
1	2021/5/26 19:19:12	196秒	链接	直接访问	101.27.80.50(河北-保定)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到	不知道	有时会	否	较为负面影响，会影响情绪	学习压力┋人际关系┋其他〖外貌焦虑〗	一般	很少	偶尔	没有	找人倾述┋其他〖听音乐〗	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	考研	有所担忧	网络心理咨询	如何和他人交往	外貌焦虑，增强自信心
2	2021/5/26 19:22:15	127秒	微信	N/A	223.104.101.75(河北-唐山)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到	没有	比较少	否	没感觉	学习压力┋人际关系┋经济问题┋考试考证┋就业压力	很强	偶尔	偶尔	较少	倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	有所担忧	多举行心理讲座┋网络心理咨询	如何和他人交往	(空)
3	2021/5/26 19:23:14	102秒	微信	N/A	106.18.166.114(湖南-长沙)	男	必须重视	了解一点	浏览网页┋听讲座	没有	有时会	是	正面影响，会为学习带来动力	学习压力┋人际关系┋经济问题┋考试考证	一般	很少	偶尔	没有	参加户外活动转移注意力	非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	无
4	2021/5/26 19:25:10	18秒	微信	N/A	223.104.104.66(河北-沧州)	女	必须重视	了解很多	浏览网页	有	有时会	否	正面影响，会为学习带来动力	人际关系	很强	偶尔	偶尔	经常	通过暴饮暴食发泄不满情绪	压力过大，能够理解	一种美好的经历，帮助我成长	考公务员	无所谓，父母早已为自己铺好路	组织团体活动	如何和他人交往	(空)
5	2021/5/26 19:27:25	201秒	微信	N/A	218.12.15.15(河北-石家庄)	女	必须重视	了解一点	阅读书刊┋跟朋友聊天时了解到┋听讲座	有	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋考试考证	很强	很少	偶尔	没有	参加户外活动转移注意力┋找人倾述	非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	情绪调节	考试压力
6	2021/5/26 19:28:41	170秒	微信	N/A	223.104.104.118(河北-沧州)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座	有	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋经济问题┋考试考证┋就业压力	一般	偶尔	经常	较少	参加户外活动转移注意力┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	(空)
7	2021/5/26 19:42:28	108秒	微信	N/A	223.104.102.135(河北-衡水)	男	必须重视	了解很多	浏览网页┋阅读书刊	没有	有时会	否	没感觉	学习压力┋感情压力┋经济问题┋就业压力	一般	很少	偶尔	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	情绪调节	(空)
8	2021/5/26 19:53:35	67秒	微信	N/A	117.136.47.104(河北-沧州)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	偶尔	偶尔	有时	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	无
9	2021/5/26 20:07:48	413秒	微信	N/A	106.8.71.151(河北-廊坊)	女	应该重视	了解一点	跟朋友聊天时了解到	有	有时会	否	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系	一般	偶尔	很少	没有	参加户外活动转移注意力┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨	一种美好的经历，帮助我成长	就业	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	无
10	2021/5/26 20:10:36	58秒	微信	N/A	223.104.101.115(河北-唐山)	男	必须重视	了解很多	跟朋友聊天时了解到	不知道	经常会	否	没感觉	学习压力	很强	经常	从来没有	没有	参加户外活动转移注意力	压力过大，能够理解	一种美好的经历，帮助我成长	考研	充满信心	多举行心理讲座	情绪调节	(空)
11	2021/5/26 20:20:35	26秒	微信	N/A	223.104.102.191(河北-衡水)	男	必须重视	了解很多	浏览网页	有	经常会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系	很强	经常	经常	经常	参加户外活动转移注意力	压力过大，能够理解	人生大事，应该用心经营，从一而终	就业	会	多举行心理讲座	情绪调节	(空)
12	2021/5/26 20:21:07	112秒	微信	N/A	223.104.102.166(河北-衡水)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	有	经常会	否	没感觉	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	偶尔	偶尔	有时	参加户外活动转移注意力┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	情绪调节	无
13	2021/5/26 20:21:17	29秒	微信	N/A	223.104.13.221(河北-石家庄)	男	必须重视	了解很多	浏览网页	有	经常会	是	正面影响，会为学习带来动力	学习压力	很强	经常	经常	经常	参加户外活动转移注意力	压力过大，能够理解	人生大事，应该用心经营，从一而终	就业	会	多举行心理讲座	情绪调节	无
14	2021/5/26 20:21:51	164秒	微信	N/A	223.104.102.154(河北-衡水)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋考试考证┋就业压力	一般	很少	偶尔	较少	参加户外活动转移注意力	社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	有所担忧	多举行心理讲座┋设立心理咨询室┋组织团体活动	如何处理学习和工作	(空)
15	2021/5/26 20:21:55	39秒	微信	N/A	221.192.179.22(河北-石家庄)	女	必须重视	了解很多	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证	很强	偶尔	经常	经常	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题	人生大事，应该用心经营，从一而终	就业	会	多举行心理讲座┋网络心理咨询┋组织团体活动	情绪调节	无
16	2021/5/26 20:22:13	42秒	微信	N/A	218.12.14.16(河北-石家庄)	男	必须重视	了解很多	浏览网页┋阅读书刊┋跟朋友聊天时了解到	有	比较少	是	较为负面影响，会影响情绪	学习压力┋就业压力	很强	偶尔	经常	有时	通过暴饮暴食发泄不满情绪┋无法排解低落情绪	非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	还没想过	会	设立心理咨询室┋组织团体活动	如何处理学习和工作	没有
17	2021/5/26 20:22:47	25秒	微信	N/A	183.199.172.118(河北-衡水)	男	应该重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到	没有	比较少	是	较为负面影响，会影响情绪	学习压力┋家庭问题	一般	偶尔	很少	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	就业	有所担忧	设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	(空)
18	2021/5/26 20:23:03	29秒	微信	N/A	218.12.15.46(河北-石家庄)	女	必须重视	了解很多	浏览网页┋看相关电影	有	比较少	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题	很强	经常	经常	经常	参加户外活动转移注意力┋倒头大睡，不去想任何事情	压力过大，能够理解┋社会应更多得关心大学生生活状况	只在乎曾经拥有，不在乎天长地久	考研	会	多举行心理讲座	学习方法	(空)
19	2021/5/26 20:23:20	85秒	微信	N/A	223.104.102.135(河北-衡水)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋就业压力	很强	很少	很少	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	有所担忧	多举行心理讲座┋网络心理咨询	情绪调节	要是没什么心里问题
20	2021/5/26 20:23:33	36秒	链接	直接访问	183.199.172.114(河北-衡水)	男	必须重视	了解很多	跟朋友聊天时了解到┋听讲座	不知道	比较少	是	没感觉	考试考证	一般	偶尔	经常	有时	无法排解低落情绪	非常鄙视自杀之人，枉费父母和社会的栽培	人生大事，应该用心经营，从一而终	考研	有所担忧	设立心理咨询室	如何和他人交往	66
21	2021/5/26 20:23:37	114秒	微信	N/A	223.104.102.129(河北-衡水)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	有	有时会	是	正面影响，会为学习带来动力	学习压力┋人际关系┋家庭问题┋就业压力	很弱	很少	偶尔	较少	参加户外活动转移注意力┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	设立心理咨询室	如何处理学习和工作	无
22	2021/5/26 20:24:57	195秒	微信	N/A	221.192.179.131(河北-石家庄)	男	必须重视	了解很多	浏览网页	有	经常会	是	正面影响，会为学习带来动力	学习压力	很强	经常	经常	经常	参加户外活动转移注意力	压力过大，能够理解	人生大事，应该用心经营，从一而终	就业	会	多举行心理讲座	情绪调节	(空)
23	2021/5/26 20:25:40	107秒	微信	N/A	223.104.102.153(河北-衡水)	女	必须重视	了解一点	浏览网页	没有	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋经济问题	一般	很少	偶尔	较少	通过暴饮暴食发泄不满情绪┋一个人生闷气	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨	一种美好的经历，帮助我成长	就业	有所担忧	网络心理咨询	情绪调节	(空)
24	2021/5/26 20:32:52	44秒	微信	N/A	183.199.172.94(河北-衡水)	男	应该重视	了解很多	浏览网页┋阅读书刊┋跟朋友聊天时了解到	有	经常会	是	正面影响，会为学习带来动力	学习压力	很强	经常	经常	经常	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培	人生大事，应该用心经营，从一而终	就业	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询	如何和他人交往	(空)
25	2021/5/26 20:36:58	126秒	微信	N/A	183.199.172.104(河北-衡水)	女	应该重视	了解一点	跟朋友聊天时了解到┋听讲座┋看相关电影┋其他〖上课〗	不知道	有时会	否	较为负面影响，会影响情绪	学习压力┋就业压力	很强	很少	很少	较少	倒头大睡，不去想任何事情┋其他〖听音乐〗	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	就业	有所担忧	多举行心理讲座┋网络心理咨询	如何处理学习和工作	无
26	2021/5/26 20:37:32	120秒	微信	N/A	123.147.249.75(重庆-重庆)	男	必须重视	了解一点	听讲座	有	有时会	否	正面影响，会为学习带来动力	学习压力┋人际关系	很强	偶尔	经常	有时	参加户外活动转移注意力┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨	一种美好的经历，帮助我成长	就业	有所担忧	设立心理咨询室	如何和他人交往	(空)
27	2021/5/26 21:30:03	33秒	微信	N/A	183.199.172.104(河北-衡水)	男	应该重视	了解一点	阅读书刊	没有	有时会	是	没感觉	就业压力	一般	偶尔	偶尔	经常	找人倾述	以此为鉴，努力疏导自声心理问题	人生大事，应该用心经营，从一而终	考研	有所担忧	网络心理咨询	学习方法	无
28	2021/5/26 21:38:37	26秒	微信	N/A	183.199.172.103(河北-衡水)	男	应该重视	了解很多	浏览网页	有	经常会	是	正面影响，会为学习带来动力	学习压力	很强	经常	经常	经常	参加户外活动转移注意力┋一个人生闷气	压力过大，能够理解┋非常鄙视自杀之人，枉费父母和社会的栽培	人生大事，应该用心经营，从一而终	考公务员	有所担忧	多举行心理讲座	情绪调节	无
29	2021/5/26 21:44:06	64秒	微信	N/A	101.27.80.50(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	没有	比较少	是	没感觉	学习压力┋人际关系┋考试考证┋就业压力	一般	很少	经常	较少	通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会	多举行心理讲座┋设立心理咨询室┋组织团体活动	如何和他人交往	(空)
30	2021/5/26 22:26:51	25秒	微信	N/A	36.98.76.190(河北-唐山)	男	必须重视	了解很多	浏览网页	不知道	经常会	是	正面影响，会为学习带来动力	学习压力┋家庭问题	很弱	经常	经常	经常	参加户外活动转移注意力	压力过大，能够理解	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋网络心理咨询	如何和他人交往	(空)
1	2021/5/27 12:29:59	126秒	手机提交	直接访问	218.12.15.29(河北-石家庄)	女	必须重视	了解一点	阅读书刊┋听讲座┋其他	没有	有时会	是	没感觉	学习压力┋人际关系┋考试考证┋其他	一般	偶尔	经常	很少	一个人生闷气┋找人倾述┋其他	对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	有所担忧	设立心理咨询室┋多举行心理讲座	其他	(空)
2	2021/5/27 13:12:16	149秒	手机提交	直接访问	117.136.2.151(河北-保定)	女	必须重视	了解很多	浏览网页┋阅读书刊┋听讲座┋看相关电影┋其他	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋家庭问题┋考试考证┋其他	一般	偶尔	很少	没有	倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋其他	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应用心经营，从一而终	考研	有所担忧	设立心理咨询室┋多举行心理讲座┋组织团体活动┋网络心理咨询┋其他	如何和他人交往	人际交往
3	2021/5/28 9:58:38	99秒	手机提交	直接访问	221.192.238.10(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋听讲座┋看相关电影┋其他	有	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋考试考证┋其他	一般	偶尔	很少	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述┋其他	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应用心经营，从一而终	考研	有所担忧	设立心理咨询室┋多举行心理讲座┋组织团体活动┋网络心理咨询┋其他	情绪调节	(空)
4	2021/5/28 10:42:57	61秒	手机提交	直接访问	223.104.169.123(江西-吉安)	女	必须重视	了解很多	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证	很强	经常	经常	经常	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋非常鄙视自杀之人，枉费父母和社会的栽培┋对引发事件发生的社会原因和学校的责任非常慷慨	一种美好的经历，帮助我成长	就业	有所担忧	设立心理咨询室┋多举行心理讲座┋组织团体活动	情绪调节	学习压力
5	2021/5/28 10:51:11	137秒	微信	N/A	39.144.87.128(河北-邯郸)	女	必须重视	了解一点	浏览网页┋其他	没有	有时会	否	没感觉	学习压力┋考试考证	一般	偶尔	经常	没有	倒头大睡，不去想任何事情┋其他	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	有所担忧	多举行心理讲座┋组织团体活动	情绪调节	无。
6	2021/5/28 10:53:13	208秒	微信	N/A	218.12.15.54(河北-石家庄)	女	应该重视	了解很少	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力┋其他	一般	很少	很少	很少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪┋其他	压力过大，能够理解┋非常鄙视自杀之人，枉费父母和社会的栽培┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	设立心理咨询室┋多举行心理讲座┋组织团体活动┋网络心理咨询┋其他	情绪调节	清醒式堕落
7	2021/5/28 10:55:02	107秒	手机提交	直接访问	117.136.21.189(江西-吉安)	女	应该重视	了解很多	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影┋其他	有	比较少	否	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	很强	很少	经常	很少	参加户外活动转移注意力┋找人倾述	社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	有所担忧	设立心理咨询室┋多举行心理讲座┋组织团体活动	情绪调节	无
8	2021/5/28 10:56:32	164秒	手机提交	直接访问	223.104.189.28(山东-青岛)	女	必须重视	了解很少	浏览网页┋跟朋友聊天时了解到	不知道	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋考试考证	一般	偶尔	偶尔	很少	一个人生闷气┋找人倾述┋无法排解低落情绪	非常鄙视自杀之人，枉费父母和社会的栽培┋社会应更多得关心大学生生活状况	人生大事，应用心经营，从一而终	考研	会	多举行心理讲座	情绪调节	大学生恋爱问题     讲座
9	2021/5/28 11:01:01	34秒	微信	N/A	112.224.136.184(山东-烟台)	男	必须重视	了解很多	浏览网页┋阅读书刊	有	有时会	是	没感觉	学习压力┋人际关系┋经济问题	一般	很少	偶尔	很少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情	对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考公务员	有所担忧	设立心理咨询室┋组织团体活动	其他	(空)
10	2021/5/28 11:02:37	103秒	微信	N/A	223.104.187.12(山东-青岛)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影┋其他	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力┋其他	一般	偶尔	偶尔	很少	其他	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会	设立心理咨询室┋网络心理咨询┋其他	情绪调节	没
